id,blockNumber,balance_0,balance_1,total_supply
1,18145020,79228441856347343129636,79893244072827554087756,147311932962794289964096
2,18152100,79203802309170291842362,79835206473339021127536,147228087954048806545588
3,18159143,79367529209226007963798,79647113112467240559080,147198733010686056781521
4,18166255,79334937629591824380850,79553903897442001473958,147075085918367833671012
5,18173392,79150998236564765896514,79610795572592453335172,146949801502378176735835
6,18180542,79193563052688452984025,79649805826569769352781,147017548641278614216347
7,18187682,79108484440297725870290,79653471558597329582255,146934437772169698469449
8,18194809,79065256697167227484236,79445544014610802977829,146694571648893166353232
9,18201951,78938467024452534700096,79573375679308519222435,146688493925010171866946
10,18209091,79024927197840500120726,79578989095386501118331,146766386178582081036655
11,18216239,78906530815960115095039,79392389051098004519735,146477203358654105257009
12,18223385,78993039672980413365673,79335141780454340862893,146496301721688111993361
13,18230531,78459063924540644384656,78779570220288143480645,145480791538645361125806
14,18237666,77397100465978053683057,78389059119080178820411,144129556815430534424709
15,18244805,64153375903490954010451,64453336790068035109511,118977890197255294430817
16,18251965,63916757258850672795415,64627606876736421745763,118914174055120147512260
17,18259124,63931450423754193311085,64138339131819487126092,118469595885712229062573
18,18266293,63828645205239124444791,64228631731499554816227,118451856804658073918003
19,18273437,63930424447465176951504,64164782954776065554432,118480433741411841108657
20,18280593,63849416642239669358754,64211720836215870436920,118442729720481707390942
21,18287744,63701062260115253196575,64201425242783384814982,118290241951204315952644
22,18294894,63696660331667135262529,63891683641688582852093,117994149277093164946216
23,18302049,63496316501820923191171,64053796530979153158670,117953252220461286036384
24,18309198,63497325676152593288967,64055466298315940880266,117949710148724997065324
25,18316340,63604947851763348248356,64026257576336169839194,118016577116347232077372
26,18323490,63422618602460889492615,63555895188547491672000,117407472057387196995887
27,18330625,63166113647387590065015,63796178043442678539915,117387023278477068196668
28,18337769,63062829076916186943977,63876131385680236854207,117359803258585662541601
29,18344907,63682957935448087695421,64083852134546532011732,118119510440392954468810
30,18352059,63005145437083613204976,63783400700751850294870,117209485746505812924397
31,18359213,63070967546796621954178,63695427635654918676077,117183475166759516291772
32,18366379,62938529008286557162009,63288357015045455796444,116678776985473767511321
33,18373529,62710731283416823839317,63231211899963016665488,116408767577325767634715
34,18380672,62465361302329515527318,63365014927914641256256,116298166298281700076171
35,18387819,62583060521146316331660,63176938896037343080324,116227505883869075485249
36,18394975,62197801745874303754671,63117528157708349559416,115809945220529128055837
37,18402122,60212572191999074527539,61039029062565730339614,112048640070513142257073
38,18409266,60308039939593664312004,60929182761665548743737,112029974039659640431190
39,18416407,60285518418358943203428,60647779580304172788887,111743414108757802454688
40,18423550,59914309766561999961106,60787391091056649724251,111522221994178288593009
41,18430677,59925754900200186296018,60572898318112332691655,111328915923168691255551
42,18437826,59690081350382731659531,60676191558806247680509,111200217411682818393255
43,18444983,60124740540938455290672,60621389623709419380588,111545089288438144306167
44,18452128,60467449167010428243760,61236092599355426620431,112422651174125305761593
45,18459269,60590952411019206257988,61019939581179918552182,112331752252876040099391
46,18466408,60524786055321873640904,61012347984881523981892,112258145017012529223185
47,18473543,59990208963100762028762,60757524317768083978985,111522670711291288883850
48,18480694,59801132477917336749632,60798308618182277025453,111379538187664426537023
49,18487825,60075921663338526158234,60459716727025610349076,111314046606642723379676
50,18494964,60202389574273055799863,60234460665624243569768,111216927903037889161376
51,18502099,60088860512071813350091,60374244772373248786675,111235541037018689500179
52,18509233,59930683441496686435290,60407159012837332310929,111114517855107457090251
53,18516373,60118386192992211471241,60340792654618522804713,111220763380308206845242
54,18523523,56588684461420456718550,57541455087268279217467,105371449645993898393807
55,18530676,56916675222126972625114,57148643229076825547318,105306029709729805198460
56,18537827,56689294206610219066794,57217733506154874589189,105153783856077535259101
57,18544980,56473008620527031515596,57480996938586665799733,105189896866514959057268
58,18552123,56432917563208440950705,57021663309885288916438,104723084399245527325178
59,18559267,56409979705393093350019,56964495007320779438655,104643661519355039190045
60,18566419,53631507035190793711937,54386858380460703977138,99694202857092981061931
61,18573579,53583237466541141304709,54406218764734927018920,99661253791425093557837
62,18580727,53494092034473293030390,53799741070826359577849,99013418589566328649954
63,18587882,53484564938272051738163,53792927249673616008392,98992852302886852066893
64,18595031,53429840168026304795560,53964958071626314757172,99096084221310386408920
65,18602145,53590258495917802377431,53826666043755596514786,99111426340118621527804
66,18609284,53468920587258798021761,53913118569051929565915,99074425898391541521598
67,18616431,53488834008860656876409,53805628332806074324901,98988678932713178188995
68,18623574,53319451583472173561241,53967875195163481496289,98976967520393482824093
69,18630716,53357611669848165403754,53958683586638671067447,98997943918034518608556
70,18637861,53150028072017616864465,53826470212266773497789,98678927374473943356266
71,18644995,52563602637702247538175,53172699408084779969953,97529952967360464115906
72,18652140,52903834728043928045906,53593503466229787206189,98226904461339630329049
73,18659275,52951560001903122444934,53386201932637702381805,98075215086191830711337
74,18666411,52910676348908013284958,53395904631848656494466,98041401089456990505697
75,18673556,52971006042031648451973,53324603430795706400225,98026150238444687022123
76,18680706,52972673688391261095627,53328529713735781614312,98025849440355681026285
77,18687851,52758177082633235519021,53540611924696454816335,98018202528464001200530
78,18695002,52935715798669425200215,53349986845584965899146,98000542357641001500649
79,18702159,52765334254774839066146,53029815315799458914715,97543120849124893199131
80,18709289,52733631376149129721467,52971746217482347550616,97455475324021098084883
81,18716439,52432549964086669720297,53157783040070178654243,97344231352996019434844
82,18723579,52371825061479540008092,53004703940233234374350,97140885246889166219548
83,18730702,52295201009377212270818,53085816093256930839961,97138923262096508922093
84,18737829,52373769737224288384534,52983538961294274491907,97111490994649862351545
85,18744963,52074405920039850895196,52573245841249245466988,96451746713138557363324
86,18752098,51593110369093306436933,52419558079427713964370,95860294298817472327215
87,18759247,51681495894623664221798,52446563232982874625862,95961905041340891577423
88,18766393,51934806789975273404421,52110494284558143007084,95880221083314365213317
89,18773539,51410010330889615945425,52569860547134721781675,95813535981914853964899
90,18780676,51914634868624454543732,52051158729651856629711,95795602288111593407109
