block_number,WETH_per_lp,swETH_per_lp,all_ETH_per_lp
18145020,0.0,1.4365880582465174,1.4683103147968444
18152100,0.0,1.4365880582465174,1.4677099356019796
18159143,0.0,1.4365880582465174,1.4658606975993917
18166255,0.0036089735301873312,1.4330338219417038,1.4553965083039138
18173392,0.27318337333880194,1.1665007997567,1.4528076204744007
18180542,0.30067678445750995,1.1393357684373133,1.4528521816428324
18187682,0.3385810819290457,1.1018908734591673,1.4529186617873524
18194809,0.35247149336275496,1.0881635430240497,1.4529371990974815
18201951,0.38222475169724435,1.0587555911160922,1.4529719552618947
18209091,0.37147708736934426,1.0693886788585023,1.452969811149567
18216239,0.3440141047804206,1.0965511583261691,1.4529557932256754
18223385,0.19140141740750324,1.2474981965906338,1.4528632918550362
18230531,0.19974368215912966,1.2392519799314585,1.4528742303893245
18237666,0.36968228758210997,1.0712458995860228,1.4530518995373969
18244805,0.42420950962650145,1.0173516468732697,1.4531135234497492
18251965,0.19543622701175198,1.2436406255346357,1.453000827257794
18259124,0.20188775436920053,1.2372699461152294,1.4530159008621528
18266293,0.17542796038219693,1.2634483950027973,1.4530045098666429
18273437,0.16238235230903786,1.2764088051935178,1.4530526468562295
18280593,0.15492061289386894,1.2837924460852674,1.4530503818066407
18287744,0.1586986785053977,1.2800654676716214,1.4530632100081824
18294894,0.3389398967740586,1.1018678437458436,1.453254401911278
18302049,0.06035995752510718,1.3774262228936172,1.4530785794878522
18309198,0.055112553468024766,1.382623904496509,1.4530815152178564
18316340,0.040240786845142165,1.397347823695996,1.453082624891375
18323490,0.04756470441176934,1.3901034273075998,1.4516841942292293
18330625,0.0,1.437215658604091,1.4475226949861062
18337769,0.07943438218499187,1.358511581767815,1.44893215537487
18344907,0.08663868741570024,1.3514038817934115,1.447616536958808
18352059,0.11481867780634249,1.3234890876142595,1.4477099062656014
18359213,0.1465175479941905,1.2921314716874388,1.4478568695019545
18366379,0.2658468418018409,1.173795822064914,1.4481046293373478
18373529,0.3023572656046276,1.1379034405363824,1.4484927519413981
18380672,0.6305003691395128,0.812344599617383,1.4489070762803222
18387819,0.4119496360066568,1.0295518560315724,1.4490280306893069
18394975,0.4486593916794904,0.9932990396394636,1.4492452462352787
18402122,0.6037007286818243,0.839766807546837,1.4497184346901362
18409266,0.6198267650318977,0.8240390177155236,1.4500087737049236
18416407,0.5990348248603546,0.8448237068767993,1.4501442290599678
18423550,0.573340921562042,0.8703718272131324,1.4501729866078972
18430677,0.585869096834921,0.8579821122165795,1.4502269402944141
18437826,0.2685360322307943,1.1731057575084056,1.450100672964204
18444983,0.616434085256611,0.8278267920907484,1.4504300506780172
18452128,0.6725925904400242,0.7721074061331943,1.4504840419430125
18459269,0.61511460144052,0.8291707758964669,1.4504637981457638
18466408,0.5991656993227567,0.845005171992563,1.4504579195425173
18473543,0.5812072806359699,0.8628355162657663,1.4504517457701922
18480694,1.4509320161852406,0.0,1.4509320161852406
18487825,1.4357704389889967,0.015002668849687853,1.4510607081639184
18494964,1.446572764639668,0.004400173602595162,1.4510663003246864
18502099,1.4349516055116154,0.01578290317186416,1.4510692583724705
18509233,0.10264973218138386,1.3207045586847188,1.4407299741677955
18516373,1.1000016058957243,0.33364185612180114,1.4372544625324744
18523523,1.0552549207024202,0.37792655700798866,1.4372598766903788
18530676,1.0497767366056094,0.38335381363547727,1.4372660393847683
18537827,1.4374082866066487,0.0,1.4374082866066487
18544980,1.4374082866066484,0.0,1.4374082866066484
18552123,1.4374082866066484,0.0,1.4374082866066484
18559267,1.4374082866066484,0.0,1.4374082866066484
18566419,1.4374082866066484,0.0,1.4374082866066484
18573579,1.4374082866066484,0.0,1.4374082866066484
18580727,1.4374082866066484,0.0,1.4374082866066484
18587882,1.436069253794504,0.0013206826433431159,1.4374085538429013
18595031,1.4326682114596887,0.004656986578941519,1.4374097628725606
18602145,1.4374143647386708,0.0,1.4374143647386708
18609284,1.2203292073935774,0.21181049218381964,1.4374686398982224
18616431,1.4260287836050358,0.011245267394117242,1.4375586194396965
18623574,0.7928154121675177,0.6290898570639322,1.4375407482189182
18630716,0.9250595993547002,0.5001238217800391,1.4376606909639036
18637861,0.2092488123265314,1.1988775812919876,1.437424776709254
18644995,0.1316869782225356,1.2746072240557493,1.4373728390050635
18652140,0.1644231846252663,1.242743204341036,1.437497064779302
18659275,0.0054320578511175025,1.3979881575368178,1.4373814838338876
18666411,0.0,1.4032924551965866,1.4369447539302944
18673556,0.07236892356765244,1.3326623769603776,1.4374691610735917
18680706,0.17401443959622243,1.2334751878478947,1.4376025243576371
18687851,0.20375626227009508,1.2044490247559807,1.4376350862131453
18695002,0.20062235133962236,1.2075094804314612,1.4376337147853466
18702159,0.15812175557422728,1.2490053780655086,1.4376050270081768
18709289,0.11197005061375674,1.2940707016092194,1.43757577008472
18716439,0.2636036781925015,1.1461229868194462,1.4377801641070183
18723579,0.23765147153105676,1.1714604377787512,1.4377639314117683
18730702,0.17892770254825313,1.2288030313441636,1.4377338564765874
18737829,0.00035642406648405853,1.4031824421324646,1.4376212454023063
18744963,0.0,1.4035835474374743,1.4312357400060987
18752098,0.0,1.403588422336514,1.4313169775032772
18759247,0.9150032328782355,0.5071691218717945,1.4327478694016724
18766393,1.4329509246794851,0.0,1.4329509246794851
18773539,1.4329509246794851,0.0,1.4329509246794851
18780676,1.4329509246794851,0.0,1.4329509246794851
