id,block_number,curve_normalized_ETH_per_lp,mav_normalized_ETH_per_lp
1,18573579,1.0,1.0
2,18580727,1.0048683364428943,1.0
3,18587882,1.0048981026901667,1.0000001859153418
4,18595031,1.0028241358999908,1.0000010270331163
5,18602145,1.0056793259791539,1.000004228535538
6,18609284,1.0037770202157121,1.0000419875773197
7,18616431,1.0050206823521481,1.0001045860347744
8,18623574,1.0019566379718037,1.0000921530879598
9,18630716,1.0024612724813242,1.0001755968430175
10,18637861,1.001789498462741,1.0000114721076532
11,18644995,1.0024079570300073,0.9999753392255247
12,18652140,1.0017378688269183,1.0000617626692991
13,18659275,1.004192299568805,0.9999813534031976
14,18666411,1.0037630409425171,0.9996775219117121
15,18673556,1.0050638923211812,1.0000423501572313
16,18680706,1.0050986181869042,1.0001351305351434
17,18687851,1.0011068748825112,1.0001577837060007
18,18695002,1.004656752263574,1.0001568296083991
19,18702159,1.0061192160366237,1.0001368716205141
20,18709289,1.006419010415905,1.0001165176795155
21,18716439,1.0018164435749943,1.000258713897669
22,18723579,1.0027508719280658,1.0002474208674277
23,18730702,1.0013039930855208,1.0002264978384865
24,18737829,1.003091635715344,1.0001481547015154
25,18744963,1.0041801303000977,0.9957057805648794
26,18752098,1.0010375057451306,0.9957622972121921
27,18759247,1.001690629794341,0.9967577637833311
28,18766393,1.0074578615288219,0.9968990286415518
29,18773539,0.9979716857937595,0.9968990286415518
30,18780676,1.0079561249018387,0.9968990286415518
